id_producto,clave,no_parte,nombre,modelo,id_marca,id_categoria,id_subcategoria
39,ACCCDM870,622056,Cable TelefÛnico Exterior,622056 * Se cotiza por metro *,39,677,552
40,ACCCDM890,622058,Cable TelefÛnico Exterior,622058 * Se cotiza por metro *,39,677,552
41,ACCCDM910,622061,Cable TelefÛnico Exterior,622061 * Se cotiza por metro *,39,677,552
42,ACCCDM930,627001,Cable TelefÛnico Exterior,627001 * Se cotiza por metro * ,39,677,552
43,ACCCDM940,627002,Cable TelefÛnico Exterior,627002 * Se cotiza por metro *,39,677,552
44,ACCCDM960,627006,Cable TelefÛnico Exterior,627006 * Se cotiza por metro *,39,677,552
45,ACCCDM970,66445632,Cable UTP,66445632,39,632,1058
46,ACCCDM980,66445812,Cable UTP,66445812,39,677,552
47,ACCCDM990,66445832,Cable UTP,66445832,39,677,552
48,ACCCDP010,UPO33-20BC17-38,Banco de BaterÌa,UPO33-20BC17-38,34,743,768
49,ACCCDP020,UPO22-BBT40-7-6K,Banco de BaterÌa,UPO22-BBT40-7-6K,34,743,768
50,ACCCDP060,UPO11-BBC12-9RT23,Banco de BaterÌa,UPO11-BBC12-9RT23,34,743,768
51,ACCCDP070,UPO11-3BC12-9RT,Banco de BaterÌa,UPO11-3BC12-9RT,34,743,768
52,ACCCDP080,UPO22-BBC20-9RT10,Banco de BaterÌa,UPO22-BBC20-9RT10,34,743,768
53,ACCCDP120,UPO22-PLLK-AX-610,Kit Paralelo,UPO22-PLLK-AX-610,34,796,699
54,ACCCDP130,UPORT-RAILKIT-AX,Kit de Rieles,UPORT-RAILKIT-AX,34,796,699
55,ACCCDP140,UPO33-BCB32-2060,Banco de BaterÌa,UPO33-BCB32-2060,34,743,768
56,ACCCDP150,UPOSNMP-DB9,Tarjeta Externa SNMP,UPOSNMP-DB9,34,766,771
57,ACCCDT020,8699125BRJ,Jack RJ45,8699125BRJ,40,677,696
58,ACCCDT110,8699485NPP,Panel de Parcheo,8699485NPP,40,796,699
59,ACCCDT120,8699850BPC,Cable de Red,8699850BPC,40,677,683
60,ACCCDT130,8699850CPC,Cable de Red,8699850CPC,40,677,683
61,ACCCDT150,8699852BPC,Cable de Red,8699852BPC,40,677,683
62,ACCCDT160,8699852CPC,Cable de Red,8699852CPC,40,677,683
63,ACCCDT180,8699853BPC,Cable de Red,8699853BPC,40,677,683
64,ACCCDT200,8699853DPC,Cable de Red,8699853DPC,40,677,683
65,ACCCDT300,8699246NPP,Panel de Parcheo,8699246NPP,40,796,699
66,ACCCDT390,8699863CPC,Cable de Red,8699863CPC,40,677,683
67,ACCCOM010,BRC-1-002,Supresor de Picos,BRC-1-002,38,642,763
68,ACCDTS010,MI-4100,Contacto Hembra,Nema 5L-30R,51,766,771
69,ACCHHP040,CBL-500-300-S00,Cable de Datos,-,76,636,734
70,ACCHHP060,46-00868,Base para Lectores, MS7820 ,76,636,739
71,ACCHHP240,CBL-020-300-C00,Cable de ComunicaciÛn,-,76,636,734
72,ACCHHP250,57-57210-N-3,Cable de Datos,-,76,636,734
73,ACCHPS280,H4518E,Carepack de InstalaciÛn,KM-303,362,604,320
74,ACCITL045,423526,Mouse Pad,423526,102,610,798
75,ACCITL080,205146,Convertidor de USB a Serial,205146,102,677,692
76,ACCITL090,336581,Convertidor USB a DB25 - Paralelo,336581,102,610,652
77,ACCITL1015,432351,Soporte para Monitor,432351,102,627,142
78,ACCITL1055,410144,Pulsera Antiest·tica,410144,102,766,771
79,ACCITL1060,170598,Convertidor IDE a SATA,170598,102,610,611
80,ACCITL1065,410632,Aire Comprimido,410632,102,627,772
81,ACCITL110,317474,Convertidor USB a CEN36,317474,102,610,652
82,ACCITL1165,205153,Convertidor de USB a Serial,205153,102,677,692
83,ACCITL1185,174947,Convertidor USB a Serial - RS232 - DB9,174947,102,677,693
84,ACCITL1205,177214,Splitter,177214,102,677,998
85,ACCITL1400,328906,Adaptador DVI a VGA,328906,102,677,998
86,ACCITL1430,432528,BaterÌa,432528,102,627,948
87,ACCITL1435,179225,Convertidor USB a VGA,179225,102,610,652
88,ACCITL1450,400077,Kit de Herramientas,400077,102,610,777
89,ACCITL1455,210836,Pinza Crimpeadora,210836,85,677,794
90,ACCITL1465,440240,Candado de Seguridad,440240,102,617,1031
91,ACCITL1480,522533,Tarjetas PCI,522533,85,925,926
92,ACCITL1500,160599,Hub USB,160599,102,610,652
93,ACCITL1540,160605,Hub USB,160605,102,610,652
94,ACCITL1545,179195,Convertidor,179195,102,610,611
95,ACCITL1555,177269,Extensor HDMI,177269,102,677,996
96,ACCITL1635,504195,Adaptador de Red,504195,85,630,705
97,ACCITL1680,160612,Hub USB,160612,102,610,652
98,ACCITL1705,524179,Inyector POE,524179,85,630,711
99,ACCITL1720,179027,Convertidor USB a PS2,179027,102,610,652
100,ACCITL1795,322461,Adaptador mini DisplayPort a HDMI,322461,102,677,997
101,ACCITL1820,420808,Soporte para Monitor,420808,102,627,142
102,ACCITL1840,422871,Mouse Pad,422871,102,610,798
103,ACCITL1895,433105,Pa√±os limpiadores - Toallas,KX-T30865X,102,627,772
104,ACCITL1990,211048,Pinza Crimpeadora,211048,85,677,794
105,ACCITL200,434362,Mouse Pad,434362,102,610,798
106,ACCITL2020,100854,Adaptador de Corriente,100854,102,617,1025
107,ACCITL2025,504898,Adaptador de Red,504898,85,630,705
108,ACCITL2040,207331,Video splitter,207331,102,677,998
109,ACCITL2050,177351,Convertidor VGA a HDMI,177351,102,677,999
110,ACCITL2060,211055,Pinza Crimpeadora,211055,85,677,794
111,ACCITL2095,317016,Convertidor,-,102,630,705
112,ACCITL215,207348,Splitter,207348,102,677,998
113,ACCITL2160,322508,Adaptador Mini Displayport a VGA,322508,102,677,997
114,ACCITL2250,421010,Limpiador Pantallas,60cc,102,627,772
115,ACCITL2360,421027,Limpiador Pantallas,421027,102,627,772
116,ACCITL2440,130042,Gabinete para Disco Duro,NORTH021-BKL,102,609,606
117,ACCITL2450,140065,Pasta tÈrmica,140065,102,3,169
118,ACCITL2460,151061,Convertidor,151061,102,610,652
119,ACCITL270,530071,Kit de Herramientas,530071,102,610,777
120,ACCITL2900,161572,Hub USB,161572,102,610,652
121,ACCITL300,423533,Mouse Pad,423533,102,610,798
122,ACCITL320,504225,Cople Rj45,504225,85,630,705
123,ACCITL420,701662,Pasta tÈrmica,701662,102,3,169
124,ACCITL440,200462,Adaptador VGA - Cambiador de GÈnero,200462,102,677,999
125,ACCITL480,394178,Cable USB,394178,102,677,693
126,ACCITL500,513579,Panel de Parcheo,513579,85,796,699
127,ACCITL525,150859,Adaptador de Audio,150859,102,630,712
128,ACCITL595,161039,Hub USB,161039,102,610,652
129,ACCITL770,530217,Kit de Herramientas,530217,102,610,777
130,ACCITL810,328883,Adaptador DVI a VGA,328883,102,677,998
131,ACCITL920,372503,Cable DVI a HDMI,372503,102,677,998
132,ACCITR020,T-S460-HSB-R,Digitalizador de Firma,T-S460-HSB-R,262,635,63
133,ACCITR030,T-S751-HSB-R,Digitalizador de Firma,T-S751-HSB-R,262,635,63
134,ACCITR070,T-L460-HSB-R,Digitalizador de Firma,T-L460-HSB-R,262,635,63
135,ACCLNK130,CP-PWR-CORD-NA=,Air Line Cord North,CP-PWR-CORD-NA=,36,677,679
136,ACCMIM020,NID,Protector de Descargas,NID,555,886,887
137,ACCMST045,PC-101628,Cable de Audio,PC-101628,125,677,680
138,ACCMST095,PC-030324,Toallas Limpiadoras,PC-030324,125,627,772
139,ACCMST1350,PC-033066,Limpiador,PC-033066,125,627,772
140,ACCMST1680,PC-030089,Espuma limpiadora,PC-030089,125,627,772
141,ACCMST1700,PC-030218,Desengrasante,PC-030218,125,627,772
142,ACCMST2005,PC-171621,Adaptador USB,PC-171621,125,610,652
143,ACCMST2220,PC-030270,Toallas Limpiadoras,PC-030270,125,627,772
144,ACCMST2720,PC-332077,Protector de Pantalla,PC-332077,125,617,1023
145,ACCMST2820,PC-101543,Cable de Audio y Video,PC-101543,125,677,680
146,ACCMTD010,4365 NEGRO,Soporte para Proyector,4365,474,627,142
147,ACCMTD030,AST1200,Soporte para Proyector,AST1200,474,627,142
148,ACCMTD040,SM-150,Soporte para Proyector,SM-150,474,627,142
149,ACCMTR010,STND-22F00-001-6,Base para Lectores,XENON 1900G,76,636,739
150,ACCNSY010,NORTH001,Rack de Piso,NORTH001,114,796,615
151,ACCNSY020,NORTH051,Charola para Monitor,NORTH051,114,796,699
152,ACCNSY030,NORTH732-BKL,Bracket de Pared,NORTH732,114,796,699
153,ACCNSY050,NORTH105-BKL,Organizador Horizontal,NORTH105-BKL,114,796,699
154,ACCNSY070,NORTH709-BKL,Tornillos,NORTH709-BKL,114,796,699
155,ACCNSY080,NORTH115-BKt,Organizador Vertical,NORTH115-BKt,114,796,699
156,ACCNSY085,NORTH115-BKL,Organizador Vertical,NORTH115-BKL,114,796,699
157,ACCNSY090,NORTH054-BKL,Charola para Teclado,NORTH054-BKL,114,796,699
158,ACCNSY100,NORTH021-BKL,Rack de Pared,NORTH021-BKL,114,796,615
159,ACCNSY110,NORTH080-BKL,Charola para Servidor,NORTH080-BKL,114,796,699
160,ACCNSY120,NORTH022-BKT,Rack de Pared, YFV,114,796,615
161,ACCNSY140,NORTH111-BKL,Organizador Horizontal,NORTH111-BKL,114,796,699
162,ACCNSY150,NORTH118-BKL,Organizador Vertical,NORTH 118-BKL,114,796,699
163,ACCNSY160,NORTH700-BKL,Panel Ciego,NORTH700-BKL,114,796,699
164,ACCNSY170,NORTH717-BKL,Bracket de Pared,NORTH717-BKL,114,796,699
165,ACCOKI040,70047803,Bandeja,70047803,117,604,623
166,ACCOVL010,OTAC-E50,Adaptador para Computadora Portatil ,OTAC-E50,119,617,1025
167,ACCOVL020,OTAC-E52,Adaptador para Computadora Portatil ,19.5V/4.62AH C/Blister + USB,119,617,1025
168,ACCOVL030,OTAC-E51,Adaptador para Computadora Portatil ,19V/4.74AH + USB,119,617,1025
169,ACCOVL040,OTAC-E53,Adaptador para Computadora Portatil ,19V/4.74AH puerto USB para CQ42,119,617,1025
170,ACCOVL050,OTAC-E56,Adaptador para Computadora NETBOOK,19V/2.15AH C/Blister + USB,119,617,1025
171,ACCOVL060,OTAC-E59,Adaptador para Computadora Portatil ,19.5V/4.74AH C/Blister + USB,119,617,1025
172,ACCOVL070,OTAC-E64,Adaptador para Computadora NETBOOK,19V/2.1AH,119,617,1025
173,ACCOVL080,OTAC-E55,Adaptador para Computadora Portatil ,19V/4.74AH,119,617,1025
174,ACCOVL090,OTAC-E57,Adaptador para Computadora Portatil ,20V/4.5AH,119,617,1025
175,ACCOVL100,OTAC-E58,Adaptador para Computadora Port·til ,15V/6AH,119,617,1025
176,ACCOVL170,OTAC-E66,Adaptador para Computadora NETBOOK ,OTAC-E66,119,617,1025
"177,ACCOVL240,OTBPS13,Bateria color negra 6 celdas,""para Sony Vaio VGN-AW, VGN-CS"",119,617,1030"
178,ACCOVL290,OTAC-E71,Adaptador para Computadora Port·til,16V/3.75AH,119,617,1025
179,ACCOVL300,OTAC-E70,Adaptador para Computadora,19V/2.1AH,119,617,1025
180,ACCOVL310,OTAC-E65,Adaptador de Corriente,19V/1.75AH + USB,119,617,1025
181,ACCPAN070,AD-TES,Traficador de llamadas,LIGTH,196,925,926
182,ACCPCM020,B7670,Rollo de Papel,B7670,124,635,58
183,ACCPCM060,BA5760,Rollo de Papel,BA5760,124,5,117
184,ACCPCM090,BRA7670,Rollo de Papel,BRA7670,124,5,117
185,ACCPCM100,B3870,Rollo Bond,B38X70,124,5,117
186,ACCPCM110,B4470,Rollo de Papel,B4470,124,5,117
187,ACCPCM120,B5760,Rollo de Papel,B5760,124,5,117
188,ACCPCM150,T5760,Rollo de Papel,T5760,124,635,58
189,ACCPCM170,T5745,Rollo de Papel,T5745,124,5,117
190,ACCPCM180,T8070C50,Rollo de Papel,T8070C50,124,635,58
191,ACCPCM200,T8080,Rollo de Papel,T8080,124,635,58
192,ACCPCM220,T5736MMS12K,Rollo TÈrmico,T5736MMS12K,124,635,58
193,ACCPCM230,BA7676,Rollo de Papel,BA7676,124,5,117
194,ACCPCM300,BA8270,Rollo de Papel,BA8270,124,5,117
195,ACCPTS010,81083-01,Diadema,81083-01,127,937,944
196,ACCPVS010,PI-PR-B01,Brazo para housing,PI-PR-B01,132,627,142
197,ACCPVS040,PR-C08,Adaptador de AlimentaciÛn,PR-C08,132,632,981
198,ACCPVS050,PI-PR-H02,Gabinete para c·mara,PI-PR-H02,132,882,889
199,ACCPVS120,PI-PR-C13,Conector BNC,PI-PR-C13,132,632,1058
200,ACCPVS150,PI-PR-10A9CH,Fuente de Poder,PI-PR-10A9CH,132,632,981
201,ACCPVS160,PR-12A16CH,Fuente de Poder,PR-12A16CH,132,632,981
202,ACCPVS220,PR-AV1,Fuente de Poder,PR-AV1,132,632,981
203,ACCPVS240,PR-C14,Divisor de Fuente de Poder,PR-C14,132,632,981
204,ACCPVS260,PR-C09,Adaptador de AlimentaciÛn,PR-C09,132,632,981
205,ACCRED030,S66M1-50,Regleta,RE-50,334,925,926
206,ACCRED040,4PL3,Protector de LÌnea TelefÛnica,4PL3,154,925,926
207,ACCRED050,4PL4,Protector de LÌnea TelefÛnica,4PL4,154,925,926
208,ACCRED060,4PL6,Protector de LÌnea TelefÛnica,4PL6,154,925,926
209,ACCRED070,4PL8,Protector de LÌnea TelefÛnica,4PL8,154,925,926
210,ACCSYM150,BTRY-LS42RAA0E-01,BATERIA EXTRA LS4278 ,LS4278,176,636,732
211,ACCTCH140,TZCCL01,Candado de Seguridad,TZCCL01,155,617,1031
212,ACCTCH150,TZCKL01,Candado de Seguridad,TZCKL01,155,617,1031
213,ACCTCH250,TZEXK01K,MaletÌn,TZEXK01K,155,617,1024
214,ACCTCH310,TZEST01N,MaletÌn,Essential,155,617,1024
215,ACCTCH550,TZBTS10BLK,Mochila,SPORT,155,617,1024
216,ACCTCH850,TZPL02,Presentador L·ser,TZPL02,155,627,676
217,ACCTPL010,MC100CM,Convertidor de Medios,MC100CM,161,630,1021
218,ACCTPL060,MC220L,Convertidor de Medios,MC220L,161,630,1021
219,ACCTPL070,MC110CS,Convertidor de Medios,MC110CS,161,630,1021
220,ACCTPL080,MC111CS,Convertidor de Medios,MC111CS,161,630,1021
221,ACCTPL090,MC112CS,Convertidor de Medios,MC112CS,161,630,1021
222,ACCTPL100,MC200CM,Convertidor de Medios,MC200CM,161,630,1021
223,ACCTPL110,MC210CS,Convertidor de Medios,MC210CS,161,630,1021
224,ACCTPL120,TL-SM311LM,MiniGBIC,TL-SM311LM,161,886,887
225,ACCTPL130,TL-SM311LS,MiniGBIC,TL-SM311LS,161,886,887
226,ACCTPL220,TL-POE150S,Inyector PoE,TL-POE150S,161,886,887
227,ACCTRD530,TPE-113GI,Inyector PoE,TPE-113GI,163,630,711
228,ACCTRL060,B013-330,Kit de ExtensiÛn KVM,B013-330,164,640,750
229,ACCTRL080,B020-008-17,Consola KVM,B020-008-17,164,896,900
230,ACCTRL100,B021-000-17TAA,Consola KVM,B021-000-17TAA,164,896,900
231,ACCTRL180,P753-006,Cables 3 en 3,P753-006,164,677,686
232,ACCTRL190,P753-010,Cables 3 en 4,P753-010,164,677,686
233,ACCTRL220,P774-010,Cable Tipo PS/2,P774-010,164,677,686
234,ACCTRL280,U222-007-R,Hub USB,U222-007-R,164,610,652
235,ACCTRL330,B004-VUA2-K-R,Switch KVM,B004-VUA2-K-R,164,629,143
236,ACCTRL390,B042-008,Switch KVM,B042-008,164,629,143
237,ACCTRL400,P780-006,Cable para Switch,P780-006,164,766,771
238,ACCTRL550,SR42UBEXPND,Rack Gabinete,SR42UBEXPND,164,796,615
239,ACCTRL560,SR42UB,Gabinete,SR42UB,164,796,80
240,ACCTRL570,SRFANROOF,Ventilador,SRFANROOF,164,796,699
241,ACCTRL580,SRCABLEDUCTVRT,Organizador,SRCABLEDUCTVRT,164,796,699
242,ACCTSN020,E005277,Fuente de Poder POS,E005277,59,636,740
243,ACCTYM020,PC-041078,Mouse Pad,PC-041078,125,610,798
244,ACCZBR020,104523-111,TARJETAS DE PVC,104523-111,176,635,58
"245,ACCZBR210,105912G-912,""KIT LIMPIEZA ZEBRA P110I, P120I"",105912G-912,176,627,772"
246,ACCZBR390,105999-302      ,KIT DE LIMPIEZA PARA IMPRESORAS ZXP3,PC-200994,176,604,320
247,BATCDP010,B-12/65,BaterÌa Modelo,B-12/65,34,743,769
248,BATCDP020,B-12/7,BaterÌa Modelo,B-12/7,34,743,769
249,BATCDP030,B-12/9,BaterÌa Modelo,B-12/9,34,743,769
250,BATCDP040,B-12/38,BaterÌa Modelo,B-12/38,34,743,769
251,BATCDP050,B-12/100,BaterÌa Modelo,B-12/100,34,743,769
252,BATCYP030,BP48V75ART2U,Banco de BaterÌa,BP48V75ART2U,46,743,768
253,BATDTS020,MI4218,BaterÌa para No Break,MI4218,51,743,769
254,BATDTS050,MI-4219,BaterÌa para No Break,MI-4219,51,743,769
255,BATDTS070,MI-4217,BaterÌa para No Break,MI-4217,51,743,769
"256,BATOVL010,OTH2000,Bateria color gris 6 celdas,""para HP Pavilion DV2000, DV6000 "",119,617,1030"
257,BATOVL020,OTH6120,Bateria color negro 6 celdas,HP Business notebook 6515B,119,617,1030
258,BATOVL040,OTH0015,Bateria color negro 6 celdas, para HP CQ40 Pavilion DV4/ DV5,119,617,1030
259,BATOVL090,OTH550H,Bateria color negro 6 celdas,para HP 610 Notebook ,119,617,1030
260,BATOVL120,OTT3534,Bateria color negro 6 celdas, para Toshiba Satellite M205,119,617,1030
"261,BATOVL130,OTD1525,Bateria color negro 6 celdas,"" para Dell Inspiron 1525, 1545"",119,617,1030"
262,BATOVL160,OTH5173,Bateria color negro 6 celdas,para HP CQ42 Series,119,617,1030
"263,BATOVL210,OTR4710,Bateria color negro 6 celdas,""para Acer Aspire 4710, 4720 "",119,617,1030"
"264,BATOVL220,OTD5093,Bateria color negro 6 celdas,""para Dell Latitude E5400, E5410"",119,617,1030"
265,BATTRL090,BP24V70-3U,Banco de BaterÌa,BP24V70-3U,164,743,768
266,BATTRL110,BP48V24-2U,Banco de BaterÌa,BP48V24-2U,164,743,768
267,BATTRL120,BP48V60RT-3U,Banco de BaterÌa,BP48V60RT-3U,164,743,768
268,BATTRL140,BP240V10RT-3U,Banco de BaterÌa,BP240V10RT-3U,164,743,768
269,BATTRL150,PV375,BaterÌa,PV375,164,743,768
270,BATVIC010,BB-48V-12Ah,Banco de BaterÌa,BB-48V-12Ah,168,743,768
271,BOCGEN025,MUAA-005,Diadema,AM-370,6,627,672
272,BOCGEN300,AUBO-014,Bocina,AX-2500,6,626,41
273,BOCITL020,175517,AudÌfonos,175517,102,627,977
274,BOCITL060,175555,Diadema,-,102,627,672
275,BOCITL070,164429,Diadema,-,102,627,977
276,BOCLOG290,980-000161,Bocina,S120,101,626,41
277,BOCLOG330,981-000060,Diadema,H390,101,627,672
278,BOCLOG370,980-000401,Bocina,Z313,101,626,41
279,BOCLOG470,980-000442,Bocina,Z623,101,626,41
280,BOCLOG520,980-000474,Bocina,Z906,101,626,41
281,BOCLOG530,980-000573,Bocina,Z120,101,626,41
282,BOCLOG570,981-000386,Diadema,H600,101,627,672
283,BOCMSF010,JUG-00013,Diadema,LX-3000,104,627,672
284,BOCMSF1680,7XF-00001,Diadema,Life chat LX-6000,104,627,672
285,BOCMST1540,PC-110545,AudÌfono,PC-110545,125,627,978
286,BOCMST210,PC-110279,MicrÛfono,PC-110279,125,626,102
287,BOCMST250,PC-110323,Diadema,PC-110323,125,627,672
288,BOCMST650,EL-993148,Diadema,EL-993148,125,627,672
289,CABITL010,333412,Cable USB,333412,102,677,693
290,CABITL015,301503,Cable de Corriente,301503,102,677,679
291,CABITL020,333405,Cable USB,333405,102,677,693
292,CABITL025,349369,Cable de Corriente,349369,102,677,679
293,CABITL030,340458,Cable USB,340458,102,677,693
294,CABITL035,340496,Cable USB,340496,102,677,693
295,CABITL040,303033,Cable Paralelo,303033,102,677,692
296,CABITL055,317856,Cable USB,317856,102,677,693
297,CABITL060,317863,Cable USB,317863,102,677,693
298,CABITL065,371315,Cable VGA,371315,102,677,992
299,CABITL070,165211,Cable USB,165211,102,677,693
300,CABITL080,311731,Cable VGA,311731,102,677,992
301,CABITL090,311748,Cable VGA,311748,102,677,992
302,CABITL100,342766,Cable de Corriente,342766,102,677,679
303,CABITL1025,317887,Cable USB,317887,102,677,693
304,CABITL1100,340700,Cable SATA,340700,102,610,611
305,CABITL115,322539,Cable HDMI,322539,102,677,991
306,CABITL1230,328821,Cable DVI,328821,102,677,998
307,CABITL1255,306119,Cable HDMI,306119,102,677,991
308,CABITL1290,333368,Cable USB,333368,102,677,693
309,CABITL1295,304955,Cable MINI HDMI a HDMI,304955,102,677,991
310,CABITL130,340502,Cable USB,340502,102,677,693
311,CABITL1350,179300,Cable USB,179300,102,677,693
312,CABITL140,340465,Cable USB,340465,102,677,693
313,CABITL1400,342063,Cable de Red,342063,85,677,683
314,CABITL1440,319829,Cable de Red,319829,85,677,683
315,CABITL1455,323239,Cable HDMI,323239,102,677,991
316,CABITL1465,323215,Cable HDMI,323215,102,677,991
317,CABITL1520,308441,Cable HDMI,308441,102,677,991
318,CABITL1590,345408,Cable USB,345408,102,677,693
319,CABITL160,519779,Cable USB,519779,102,677,693
320,CABITL1650,362252,Cable de Red,362252,85,677,683
321,CABITL170,340960,Cable USB,340960,102,677,693
322,CABITL175,320771,Cable de Red,320771,85,677,683
323,CABITL1790,342605,Cable de Red,342605,85,677,683
324,CABITL180,313629,Cable VGA,313629,102,677,992
325,CABITL1850,335607,Cable VGA,335607,102,677,992
326,CABITL190,313612,Cable VGA,313612,102,677,992
327,CABITL195,308458,Cable HDMI,308458,102,677,991
328,CABITL1975,306133,Cable HDMI,306133,102,677,991
329,CABITL1985,177344,Extensor VGA,177344,102,677,999
330,CABITL2040,318129,Cable de Red,318129,85,677,683
331,CABITL2045,306126,Cable HDMI,306126,102,677,991
332,CABITL205,322379,Cable de ExtensiÛn USB de S˙per Velocidad,-,102,677,693
333,CABITL2070,325677,Cable USB,325677,102,677,693
334,CABITL2080,320757,Cable de Red,320757,85,677,683
335,CABITL2090,333382,Cable USB,333382,102,677,693
336,CABITL210,371568,Cable VGA,371568,102,677,992
337,CABITL2120,324427,Cable HDMI ,324427,102,677,991
338,CABITL2160,320764,Cable de Red,320764,85,677,683
339,CABITL2190,391856,Cable iLynk 30 pines,391856,102,520,1001
340,CABITL250,313599,Cable VGA,313599,102,677,992
341,CABITL255,307116,Cable Displayport,307116,102,677,993
342,CABITL260,319812,Cable de Red,319812,85,677,683
343,CABITL265,342568,Cable de Red,342568,85,677,683
344,CABITL270,319867,Cable de Red,319867,85,677,683
345,CABITL275,325424,Cable USB,325424,102,677,693
346,CABITL280,341028,Cable USB,341028,102,677,693
347,CABITL300,300179,Cable de Corriente,300179,102,677,679
348,CABITL315,307178,Cable USB,307178,102,677,693
349,CABITL350,312721,Cable VGA,312721,102,677,992
350,CABITL370,348591,Cable de Corriente - Trebol,348591,102,677,679
351,CABITL380,309011,Cable VGA,309011,102,677,992
352,CABITL415,308434,Cable HDMI,308434,102,677,991
353,CABITL425,342032,Cable de Red,342032,85,677,683
354,CABITL450,337342,Cable VGA,337342,102,677,992
355,CABITL555,333375,Cable USB,333375,102,677,693
356,CABITL650,327015,Cable VGA,327015,102,677,992
357,CABITL680,372978,Cable VGA,372978,102,677,992
358,CABITL690,301152,Cable de Corriente,301152,102,677,679
359,CABITL700,328838,Cable DVI,328838,102,677,998
360,CABITL710,312776,Cable VGA,312776,102,677,992
361,CABITL720,301404,Cable Serial - DB9 - RS232 - Null Modem,301404,102,677,692
362,CABITL780,371377,Cable VGA,371377,102,677,992
363,CABITL790,334594,Cable Audio,334594,102,677,680
364,CABITL805,342575,Cable de Red,342575,85,677,683
365,CABITL810,328302,Cable VGA,328302,102,677,992
366,CABITL900,317238,Cable USB,317238,102,677,693
367,CABITL910,314770,Cable Null Modem Serial,314770,102,677,692
368,CABITL970,510424,Cable USB,510424,102,677,693
369,CABSYM050,CBA-U01-S07ZAR,CABLE USB UNIVIVERSAL,CBA-U01-S07ZAR,176,636,734
370,CABUSB010,342650,Cable USB,342650,102,677,693
371,CAMMSF100,H5D-00013,C·mara Web,LifeCam Cinema Webcam,104,610,800
372,CAMMSF170,Q2F-00013,C·mara Web,LifeCam Studio,104,610,800
373,CARBRT010,TZE231,Cinta,TZE231,30,5,55
374,CARBRT025,DK2214,Etiquetas,DK2214,30,636,67
375,CARBRT065,LC79BK,Cartucho,LC79BK,30,5,53
376,CARBRT075,LC79C,Cartucho,LC79C,30,5,53
377,CARBRT085,LC79M,Cartucho,LC79M,30,5,53
378,CARBRT095,LC79Y,Cartucho,LC79Y,30,5,53
379,CARBRT1000,TN420,TÛner,TN420,30,5,165
380,CARBRT1010,TN330,TÛner,TN330,30,5,165
381,CARBRT1015,TN310BK,TÛner,TN310BK,30,5,165
382,CARBRT1040,DR620,Tambor,DR620,30,5,125
383,CARBRT1050,DK1201,Etiquetas,DK1201,30,636,67
